Prompt,Prompt_Type,Prompt_Length,HCI_Application
Goodbye,Declarative,7,Conversational UI
Nice to meet you,Declarative,16,Conversational UI
create a javascript script that parse json,Declarative,42,Code Generator
Generate code in CSS to compute factorial,Declarative,41,Code Generator
How does evolution work,Interrogative,23,Educational Bot
Generate code in Python to create a web page,Declarative,44,Code Generator
There's an error in fetch(url).then(res => res.json,Declarative,51,Code Rectification
Find Tokyo near me,Imperative,18,Location Services UI
Write CSS code for compute factorial,Declarative,36,Code Generator
I'm confused,Declarative,12,Conversational UI
How are you,Interrogative,11,Conversational UI
Correct this CSS code: for i in range(10) print(i),Declarative,50,Code Rectification
Visualize stock prices as bar,Declarative,29,Graph Generation
What do you think about relationships,Interrogative,37,Chatbot Interface
I need help with learning,Declarative,25,Location Services UI
Give me 91 over 5,Declarative,17,Voice Calculator
translate maybe to chinese,Imperative,26,Real-Time Translation UI
Give me 42 plus 25,Declarative,18,Voice Calculator
How are you,Interrogative,11,Conversational UI
What is your name,Interrogative,17,Conversational UI
Convert goodbye from english to korean,Declarative,38,Real-Time Translation UI
Show me downtown,Imperative,16,Location Services UI
Can you help me,Declarative,15,Chatbot Interface
How are you,Interrogative,11,Conversational UI
Write CSS code for fetch data from API,Declarative,38,Code Generator
Capital of Mexico,Declarative,17,Location Services UI
Convert maybe from English to German,Declarative,36,Real-Time Translation UI
Share a fun fact with me please,Declarative,31,Chatbot Interface
What is DNA,Interrogative,11,Educational Bot
Find the answer to my query,Imperative,27,Educational Bot
Create a chart showing population growth,Declarative,40,Graph Generation
Give me 31 squared,Declarative,18,Voice Calculator
Teach me DNA,Declarative,12,Educational Bot
What happened in the Industrial Revolution,Interrogative,42,Knowledge Assistant
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
How do you say nice to meet you in Portuguese,Interrogative,45,Real-Time Translation UI
Share a story with me,Declarative,21,Chatbot Interface
Describe DNA,Declarative,12,Educational Bot
Generate code in JavaScript to parse JSON,Declarative,41,Code Generator
Plot a graph for stock prices,Declarative,29,Graph Generation
Show me information about geography,Imperative,35,Real-Time Translation UI
Give me advice on hobbies,Declarative,25,Chatbot Interface
Fix this code: try: pass except: pass,Declarative,37,Code Rectification
Generate code in JavaScript to sort a list,Declarative,42,Code Generator
Information on math,Declarative,19,Graph Generation
That's interesting,Declarative,18,Conversational UI
Write HTML code for create a web page,Declarative,37,Code Generator
Describe democracy,Declarative,18,Educational Bot
Fix this code: try: pass except: pass,Declarative,37,Code Rectification
Tell me about the Cold War,Declarative,26,Knowledge Assistant
What do you think about relationships,Interrogative,37,Chatbot Interface
Code example for fetch data from API in JavaScript,Declarative,50,Code Generator
There's an error in if x = 10: print('hi'),Declarative,42,Code Rectification
I need help with research,Declarative,25,Graph Generation
Code example for compute factorial in JavaScript,Declarative,48,Code Generator
Directions to the airport,Declarative,25,Location Services UI
That's interesting,Declarative,18,Conversational UI
Visualize sales data as bar,Declarative,27,Graph Generation
Can you help me,Declarative,15,Conversational UI
Visualize population growth as line,Declarative,35,Graph Generation
How do you say good morning in Arabic,Interrogative,37,Real-Time Translation UI
how to sort a list in javascript,Interrogative,32,Code Generator
Please Graph population growth,Declarative,30,Graph Generation
Share a joke with me,Declarative,20,Chatbot Interface
Create a chart showing stock prices,Declarative,35,Graph Generation
Where is the library,Interrogative,20,Location Services UI
78 add 4 equals what,Declarative,20,Voice Calculator
Facts about dinosaurs,Declarative,21,Knowledge Assistant
Solve 84 minus 6 thanks,Imperative,23,Voice Calculator
I need suggestions for a game,Declarative,29,Chatbot Interface
Who wrote To Kill a Mockingbird,Interrogative,31,Knowledge Assistant
What do you think about education,Interrogative,33,Chatbot Interface
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Write JavaScript code for compute factorial,Declarative,43,Code Generator
Hello,Conversational,5,Conversational UI
How are you,Interrogative,11,Conversational UI
Write HTML code for animate an element,Declarative,38,Code Generator
Can you help me thanks,Declarative,22,Chatbot Interface
Directions to Tokyo,Declarative,19,Location Services UI
Suggest something,Declarative,17,Chatbot Interface
Convert no from English to Italian,Declarative,34,Real-Time Translation UI
I need to understand the water cycle,Declarative,36,Educational Bot
Show me New York!!,Imperative,18,Location Services UI
What happened in the Industrial Revolution,Interrogative,42,Knowledge Assistant
Find New York near me,Imperative,21,Location Services UI
I would like to exercise,Declarative,24,Chatbot Interface
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Could you Plot a graph for user growth,Declarative,38,Graph Generation
Find the mall near me,Imperative,21,Location Services UI
Code example for handle errors in JavaScript,Declarative,44,Code Generator
What's the Spanish word for thank you,Interrogative,37,Real-Time Translation UI
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Plot a graph for sales data,Declarative,27,Graph Generation
Tell me about democracy,Declarative,23,Educational Bot
Could you When was World War II,Declarative,31,Knowledge Assistant
How to a login API in CSS,Interrogative,25,Code Generator
Who invented the light bulb,Interrogative,27,Knowledge Assistant
I need suggestions for a movie,Declarative,30,Chatbot Interface
Help with learning,Declarative,18,Conversational UI
Correct this HTML code: try: pass except: pass,Declarative,46,Code Rectification
Code example for animate an element in JavaScript,Declarative,49,Code Generator
Solve 70 times 20,Imperative,17,Voice Calculator
There's an error in button { color red; },Declarative,41,Code Rectification
Show me New York,Imperative,16,Location Services UI
Visualize stock prices as bar please,Declarative,36,Graph Generation
How far is New York?,Interrogative,20,Location Services UI
Visualize stock prices as bar,Declarative,29,Graph Generation
What's the Japanese word for nice to meet you,Interrogative,45,Real-Time Translation UI
Teach me evolution,Declarative,18,Educational Bot
What can you do,Interrogative,15,Conversational UI
Describe magnetism,Declarative,18,Educational Bot
74 over 44 equals what thanks,Declarative,29,Voice Calculator
Fix this code: button { color red; },Declarative,36,Code Rectification
Directions to Times Square,Declarative,26,Location Services UI
Give me advice on hobbies,Declarative,25,Chatbot Interface
Find downtown near me,Imperative,21,Location Services UI
Create a chart showing temperature changes,Declarative,42,Graph Generation
I would like to learn something new,Declarative,35,Chatbot Interface
Where is the airport,Interrogative,20,Location Services UI
Tell me more,Declarative,12,Location Services UI
Create a chart showing stock prices,Declarative,35,Graph Generation
Debug the following: try: pass except: pass,Declarative,43,Code Rectification
Hi there,Conversational,8,Conversational UI
Help with learning,Declarative,18,Voice Calculator
Thank you,Conversational,9,Conversational UI
Help me decide,Declarative,14,Chatbot Interface
Tell me about machine learning,Declarative,30,Educational Bot
Plot a graph for population growth,Declarative,34,Graph Generation
Teach me blockchain,Declarative,19,Educational Bot
Show me information about math,Imperative,30,Conversational UI
Help with understanding,Declarative,23,Graph Generation
How to sort a list in Python,Interrogative,28,Code Generator
Can you translate no into Portuguese,Declarative,36,Real-Time Translation UI
What about science,Interrogative,18,Graph Generation
What is the capital of Mexico,Interrogative,29,Location Services UI
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
Good afternoon,Declarative,14,Conversational UI
Give me 10 over 2!!,Declarative,19,Voice Calculator
I need to understand cell division,Declarative,34,Educational Bot
Visualize sales data as scatter,Declarative,31,Graph Generation
Write CSS code for a login API,Declarative,30,Code Generator
Generate code in Python to validate form,Declarative,40,Code Generator
How to handle errors in CSS,Interrogative,27,Code Generator
Calculate 84 add 24 please,Imperative,26,Voice Calculator
Give me 100 multiplied by 13,Declarative,28,Voice Calculator
Please How far is New York,Declarative,26,Location Services UI
Convert please help me from English to Portuguese,Declarative,49,Real-Time Translation UI
Define AI,Declarative,9,Educational Bot
Tell me something,Declarative,17,Conversational UI
Plot a graph for stock prices please,Declarative,36,Graph Generation
Good afternoon,Declarative,14,Conversational UI
Find Central Park near me,Imperative,25,Location Services UI
How to style a button in CSS,Interrogative,28,Code Generator
Create a Python script that fetch data from API,Declarative,47,Code Generator
What do you think about education,Interrogative,33,Chatbot Interface
Generate code in CSS to compute factorial,Declarative,41,Code Generator
No in russian,Declarative,13,Real-Time Translation UI
Debug a following: if x = 10: print('hi'),Declarative,41,Code Rectification
Thank you,Conversational,9,Conversational UI
Solve 87 multiplied by 48,Imperative,25,Voice Calculator
Find the answer to this problem,Imperative,31,Location Services UI
Find the result of 10 subtract 16,Imperative,33,Voice Calculator
Generate code in Python to sort a list,Declarative,38,Code Generator
Give me advice on hobbies,Declarative,25,Chatbot Interface
Visualize sales data as scatter,Declarative,31,Graph Generation
How does cell division work,Interrogative,27,Educational Bot
I need to understand climate change,Declarative,35,Educational Bot
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
How to animate an element in CSS,Interrogative,32,Code Generator
Correct this HTML code: try: pass except: pass,Declarative,46,Code Rectification
Create a chart showing user growth,Declarative,34,Graph Generation
I'm confused,Declarative,12,Conversational UI
Fix this code: if x = 10: print('hi') please,Declarative,44,Code Rectification
Thank you,Conversational,9,Conversational UI
Visualize population growth as bar,Declarative,34,Graph Generation
Debug the following: try: pass except: pass,Declarative,43,Code Rectification
Tell me a quote,Declarative,15,Chatbot Interface
Show me the library,Imperative,19,Location Services UI
How to create a web page in JavaScript,Interrogative,38,Code Generator
What is the capital of France,Interrogative,29,Location Services UI
Directions to Paris,Declarative,19,Location Services UI
Could you Show me New York,Declarative,26,Location Services UI
Write Python code for handle errors,Declarative,35,Code Generator
Tell me about AI,Declarative,16,Educational Bot
What is the capital of Mexico,Interrogative,29,Location Services UI
Plot a graph for user growth,Declarative,28,Graph Generation
I love you in German,Declarative,20,Real-Time Translation UI
Write Python code for sort a list,Declarative,33,Code Generator
Who wrote Harry Potter,Interrogative,22,Knowledge Assistant
Visualize population growth as scatter,Declarative,38,Graph Generation
What happened in the Moon landing,Interrogative,33,Knowledge Assistant
Who wrote The Great Gatsby?,Interrogative,27,Knowledge Assistant
How to validate form in HTML,Interrogative,28,Code Generator
What is the capital of India,Interrogative,28,Location Services UI
Translate where is the bathroom to Spanish,Imperative,42,Real-Time Translation UI
Who discovered the light bulb,Interrogative,29,Knowledge Assistant
I need suggestions for a game,Declarative,29,Chatbot Interface
Create a chart showing temperature changes,Declarative,42,Graph Generation
Create a HTML script that handle errors,Declarative,39,Code Generator
Define blockchain,Declarative,17,Educational Bot
Plot a graph for stock prices,Declarative,29,Graph Generation
Show me the beach thanks,Imperative,24,Location Services UI
Thank you,Conversational,9,Conversational UI
Teach me photosynthesis,Declarative,23,Educational Bot
Generate code in JavaScript to sort a list,Declarative,42,Code Generator
Find the answer to that question,Imperative,32,Location Services UI
Tell me a riddle,Declarative,16,Chatbot Interface
Define machine learning,Declarative,23,Educational Bot
Generate code in JavaScript to validate form,Declarative,44,Code Generator
Convert maybe from English to Spanish,Declarative,37,Real-Time Translation UI
Create a HTML script that compute factorial,Declarative,43,Code Generator
How does machine learning work,Interrogative,30,Educational Bot
Directions to downtown,Declarative,22,Location Services UI
I need to understand the water cycle,Declarative,36,Educational Bot
Calculate 61 to the power of 4,Imperative,30,Voice Calculator
Could you What about technology,Declarative,31,Real-Time Translation UI
Can you translate excuse me into French,Declarative,39,Real-Time Translation UI
Solve 7 times 10,Imperative,16,Voice Calculator
What's the Chinese word for thank you,Interrogative,37,Real-Time Translation UI
Translate no to Italian,Imperative,23,Real-Time Translation UI
What is 91 over 36,Interrogative,18,Voice Calculator
Plot a graph for population growth,Declarative,34,Graph Generation
Tell me a riddle,Declarative,16,Chatbot Interface
Who discovered the telephone,Interrogative,28,Knowledge Assistant
plot a graph for user growth,Declarative,28,Graph Generation
There's an error in <div class='btn' onclick='alert('hi')'>!!,Declarative,61,Code Rectification
Create a chart showing sales data,Declarative,33,Graph Generation
What about history thanks,Interrogative,25,Conversational UI
Can you help me,Declarative,15,Chatbot Interface
Convert maybe from English to French,Declarative,36,Real-Time Translation UI
Create a Python script that animate an element,Declarative,46,Code Generator
Capital of Japan,Declarative,16,Location Services UI
Write JavaScript code for create a web page,Declarative,43,Code Generator
Find the result of 93 minus 40,Imperative,30,Voice Calculator
Tell me about the Moon landing,Declarative,30,Knowledge Assistant
Give me advice on career,Declarative,24,Chatbot Interface
graph stock prices,Declarative,18,Graph Generation
Who wrote The Odyssey!!,Interrogative,23,Knowledge Assistant
Create a HTML script that create a web page,Declarative,43,Code Generator
how are you in Russian thanks,Interrogative,29,Real-Time Translation UI
Can you help me,Declarative,15,Chatbot Interface
Code example for compute factorial in CSS,Declarative,41,Code Generator
Convert thank you from English to Portuguese,Declarative,44,Real-Time Translation UI
Graph user growth,Declarative,17,Graph Generation
Generate code in JavaScript to validate form!!,Declarative,46,Code Generator
Calculate 2 plus 16,Imperative,19,Voice Calculator
Help with understanding,Declarative,23,Location Services UI
Give me advice on relationships,Declarative,31,Chatbot Interface
Tell me about evolution,Declarative,23,Educational Bot
Tell me a fun fact,Declarative,18,Chatbot Interface
Where is the library,Interrogative,20,Location Services UI
Good morning,Conversational,12,Conversational UI
How to animate an element in Python,Interrogative,35,Code Generator
History of dinosaurs,Conversational,20,Knowledge Assistant
How far is the museum thanks,Interrogative,28,Location Services UI
What is 85 add 34,Interrogative,17,Voice Calculator
I would like to learn something new,Declarative,35,Chatbot Interface
Hello,Conversational,5,Conversational UI
Who invented the steam engine thanks,Interrogative,36,Knowledge Assistant
History of the Titanic,Conversational,22,Knowledge Assistant
Hi there,Conversational,8,Conversational UI
Who invented the radio,Interrogative,22,Knowledge Assistant
Generate code in Python to compute factorial,Declarative,44,Code Generator
Convert goodbye from English to Korean,Declarative,38,Real-Time Translation UI
Show me Times Square,Imperative,20,Location Services UI
Navigate to the museum,Declarative,22,Location Services UI
Share a riddle with me,Declarative,22,Chatbot Interface
Suggest something,Declarative,17,Chatbot Interface
Give me 79 times 44,Declarative,19,Voice Calculator
Correct this HTML code: for i in range(10) print(i),Declarative,51,Code Rectification
Code example for compute factorial in HTML,Declarative,42,Code Generator
Recommend a restaurant,Declarative,22,Chatbot Interface
Define cell division,Declarative,20,Educational Bot
Create a CSS script that sort a list?,Declarative,37,Code Generator
Solve 35 squared,Imperative,16,Voice Calculator
Could you Code example for animate an element in CSS,Declarative,52,Code Generator
What is the capital of Spain,Interrogative,28,Location Services UI
Debug the following: try: pass except: pass thanks,Declarative,50,Code Rectification
Compute square root of 65,Declarative,25,Voice Calculator
Navigate to the mall,Declarative,20,Location Services UI
Hey,Conversational,3,Conversational UI
Can you translate nice to meet you into Korean,Declarative,46,Real-Time Translation UI
Describe evolution,Declarative,18,Educational Bot
Describe gravity,Declarative,16,Educational Bot
Translate yes to Italian,Imperative,24,Real-Time Translation UI
Find Central Park near me,Imperative,25,Location Services UI
Create a JavaScript script that animate an element,Declarative,50,Code Generator
Graph user growth,Declarative,17,Graph Generation
Create a CSS script that animate an element!!,Declarative,45,Code Generator
Hello,Conversational,5,Conversational UI
32 squared equals what please,Declarative,29,Voice Calculator
Generate code in Python to style a button,Declarative,41,Code Generator
Explain photosynthesis,Imperative,22,Educational Bot
What about geography,Interrogative,20,Code Rectification
Tell me something,Declarative,17,Conversational UI
Show me the beach,Imperative,17,Location Services UI
Show me information about history,Imperative,33,Knowledge Assistant
Find New York near me,Imperative,21,Location Services UI
Where is the library,Interrogative,20,Location Services UI
tell me more,Declarative,12,Educational Bot
I need to understand democracy,Declarative,30,Educational Bot
Where is Paris,Interrogative,14,Location Services UI
Can you help me,Declarative,15,Conversational UI
Tell me about the solar system,Declarative,30,Educational Bot
Create a CSS script that sort a list,Declarative,36,Code Generator
thank you in Italian,Conversational,20,Real-Time Translation UI
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Give me 23 minus 30,Declarative,19,Voice Calculator
Plot a graph for temperature changes,Declarative,36,Graph Generation
Code example for style a button in CSS!!,Declarative,40,Code Generator
Plot a graph for user growth,Declarative,28,Graph Generation
There's an error in <div class='btn' onclick='alert('hi')'>,Declarative,59,Code Rectification
That's interesting,Declarative,18,Conversational UI
Write CSS code for parse JSON please,Declarative,36,Code Generator
Find the mall near me,Imperative,21,Location Services UI
Who invented the internet,Interrogative,25,Knowledge Assistant
Navigate to the mall,Declarative,20,Location Services UI
How do you say how are you in Arabic,Interrogative,36,Real-Time Translation UI
Define photosynthesis?,Declarative,22,Educational Bot
Solve 48 multiplied by 6,Imperative,24,Voice Calculator
What is the capital of India,Interrogative,28,Location Services UI
I would like to relax,Declarative,21,Chatbot Interface
that's interesting,Declarative,18,Conversational UI
Tell me more,Declarative,12,Location Services UI
Translate sorry to Korean thanks,Imperative,32,Real-Time Translation UI
Directions to the beach,Declarative,23,Location Services UI
Generate code in HTML to style a button,Declarative,39,Code Generator
Create a chart showing user growth,Declarative,34,Graph Generation
Find the result of 10 multiplied by 23!!,Imperative,40,Voice Calculator
Information on geography,Declarative,24,Chatbot Interface
Help with understanding,Declarative,23,Code Rectification
What is a capital of Brazil,Interrogative,27,Location Services UI
How do you say no in Chinese,Interrogative,28,Real-Time Translation UI
How does democracy work,Interrogative,23,Educational Bot
Help with homework,Declarative,18,Knowledge Assistant
How to parse JSON in Python,Interrogative,27,Code Generator
Show me information about technology thanks,Imperative,43,Location Services UI
Fix this code: fetch(url).then(res => res.json,Declarative,46,Code Rectification
When was World War II,Interrogative,21,Knowledge Assistant
Share a joke with me,Declarative,20,Chatbot Interface
How far is Central Park,Interrogative,23,Location Services UI
Find the train station near me!!,Imperative,32,Location Services UI
please help me in Hindi,Declarative,23,Real-Time Translation UI
Debug the following: button { color red; },Declarative,42,Code Rectification
Good morning,Conversational,12,Conversational UI
What about math,Interrogative,15,Location Services UI
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
Help me decide,Declarative,14,Chatbot Interface
please help me in Arabic,Declarative,24,Real-Time Translation UI
goodbye in Hindi,Declarative,16,Real-Time Translation UI
Find the beach near me,Imperative,22,Location Services UI
What is the capital of France,Interrogative,29,Location Services UI
Visualize temperature changes as scatter,Declarative,40,Graph Generation
Directions to the library,Declarative,25,Location Services UI
Graph population growth,Declarative,23,Graph Generation
Correct this CSS code: button { color red; },Declarative,44,Code Rectification
Tell me something,Declarative,17,Conversational UI
Share a story with me,Declarative,21,Chatbot Interface
Correct this HTML code: try: pass except: pass,Declarative,46,Code Rectification
Show me the train station,Imperative,25,Location Services UI
Show me information about geography,Imperative,35,Knowledge Assistant
Plot a graph for population growth,Declarative,34,Graph Generation
Can you translate hello into Japanese,Declarative,37,Real-Time Translation UI
Generate code in python to create a web page,Declarative,44,Code Generator
Please Where is Times Square,Declarative,28,Location Services UI
Please Create a chart showing user growth,Declarative,41,Graph Generation
Solve 52 plus 37,Imperative,16,Voice Calculator
Goodbye,Declarative,7,Conversational UI
Code example for sort a list in JavaScript,Declarative,42,Code Generator
What's up,Interrogative,9,Conversational UI
Code example for create a web page in CSS,Declarative,41,Code Generator
Find the result of square root of 35,Imperative,36,Voice Calculator
What is your name,Interrogative,17,Conversational UI
Explain machine learning,Imperative,24,Educational Bot
Navigate to the mall,Declarative,20,Location Services UI
Correct this Python code: <div class='btn' onclick='alert('hi')'>,Declarative,65,Code Rectification
How does magnetism work,Interrogative,23,Educational Bot
describe climate change,Declarative,23,Educational Bot
I need to understand magnetism,Declarative,30,Educational Bot
Could you Show me information about math,Declarative,40,Knowledge Assistant
When was the Cold War,Interrogative,21,Knowledge Assistant
Facts about the Roman Empire,Declarative,28,Knowledge Assistant
Graph stock prices,Declarative,18,Graph Generation
Could you How does enzymes work,Declarative,31,Educational Bot
Navigate to the airport,Declarative,23,Location Services UI
Please Who invented the internet,Declarative,32,Knowledge Assistant
Fix this code: <div class='btn' onclick='alert('hi')'>,Declarative,54,Code Rectification
Find the result of square root of 20,Imperative,36,Voice Calculator
What about technology,Interrogative,21,Code Rectification
There's an error in if x = 10: print('hi'),Declarative,42,Code Rectification
There's an error in try: pass except: pass,Declarative,42,Code Rectification
Teach me DNA,Declarative,12,Educational Bot
Write HTML code for validate form,Declarative,33,Code Generator
Hello thanks,Conversational,12,Conversational UI
Where is the mall,Interrogative,17,Location Services UI
Compute 88 times 17,Declarative,19,Voice Calculator
Fix this code: button { color red; },Declarative,36,Code Rectification
What is the solar system,Interrogative,24,Educational Bot
Information on geography,Declarative,24,Educational Bot
I need to understand machine learning,Declarative,37,Educational Bot
Recommend a book?,Declarative,17,Chatbot Interface
Translate nice to meet you to Dutch,Imperative,35,Real-Time Translation UI
What is 84 times 20,Interrogative,19,Voice Calculator
What is your name,Interrogative,17,Conversational UI
History of ancient Egypt,Conversational,24,Knowledge Assistant
Help me decide,Declarative,14,Chatbot Interface
Can you translate no into Chinese?,Declarative,34,Real-Time Translation UI
How do you say hello in Hindi,Interrogative,29,Real-Time Translation UI
Navigate to the train station,Declarative,29,Location Services UI
I need help with understanding,Declarative,30,Location Services UI
When was the Moon landing,Interrogative,25,Knowledge Assistant
There's an error in button { color red; },Declarative,41,Code Rectification
Generate code in HTML to parse JSON,Declarative,35,Code Generator
When was the Renaissance,Interrogative,24,Knowledge Assistant
Translate yes to Dutch,Imperative,22,Real-Time Translation UI
Write HTML code for a login API,Declarative,31,Code Generator
Plot a graph for temperature changes,Declarative,36,Graph Generation
Show me information about technology,Imperative,36,Voice Calculator
How to a login API in Python,Interrogative,28,Code Generator
When was the Moon landing,Interrogative,25,Knowledge Assistant
Graph sales data,Declarative,16,Graph Generation
Compute 25 minus 47,Declarative,19,Voice Calculator
I'm confused,Declarative,12,Conversational UI
Debug the following: button { color red; },Declarative,42,Code Rectification
What's the Japanese word for where is the bathroom,Interrogative,50,Real-Time Translation UI
Tell me about cell division,Declarative,27,Educational Bot
I need to understand the solar system please,Declarative,44,Educational Bot
Facts about the Titanic,Declarative,23,Knowledge Assistant
What about geography,Interrogative,20,Code Rectification
How's it going,Interrogative,14,Conversational UI
Share a joke with me,Declarative,20,Chatbot Interface
Who wrote Harry Potter,Interrogative,22,Knowledge Assistant
where is the bathroom in Chinese,Interrogative,32,Real-Time Translation UI
Show me information about history,Imperative,33,Conversational UI
What happened in the Cold War,Interrogative,29,Knowledge Assistant
There's an error in button { color red; },Declarative,41,Code Rectification
Solve 20 minus 39,Imperative,17,Voice Calculator
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
There's an error in fetch(url).then(res => res.json thanks,Declarative,58,Code Rectification
Can you help me,Declarative,15,Chatbot Interface
Find the answer to that question please,Imperative,39,Knowledge Assistant
Create a JavaScript script that style a button,Declarative,46,Code Generator
Graph temperature changes,Declarative,25,Graph Generation
Correct this CSS code: button { color red; },Declarative,44,Code Rectification
Facts about ancient Egypt,Declarative,25,Knowledge Assistant
Solve 93 squared,Imperative,16,Voice Calculator
Visualize temperature changes as pie,Declarative,36,Graph Generation
Calculate 14 subtract 21,Imperative,24,Voice Calculator
What is the capital of Brazil,Interrogative,29,Location Services UI
Translate no to Hindi,Imperative,21,Real-Time Translation UI
Fix this code: try: pass except: pass,Declarative,37,Code Rectification
Goodbye,Declarative,7,Conversational UI
What is your name,Interrogative,17,Conversational UI
What is machine learning,Interrogative,24,Educational Bot
what do you think about career,Interrogative,30,Chatbot Interface
Find the train station near me,Imperative,30,Location Services UI
Can you help me,Declarative,15,Conversational UI
Plot a graph for user growth,Declarative,28,Graph Generation
Describe democracy,Declarative,18,Educational Bot
Thank you,Conversational,9,Conversational UI
Show me the airport,Imperative,19,Location Services UI
Tell me about the Renaissance,Declarative,29,Knowledge Assistant
66 over 8 equals what,Declarative,21,Voice Calculator
Code example for create a web page in Python,Declarative,44,Code Generator
Please Describe electricity,Declarative,27,Educational Bot
When was World War II,Interrogative,21,Knowledge Assistant
What is 13 multiplied by 14,Interrogative,27,Voice Calculator
Help me decide,Declarative,14,Chatbot Interface
Show me information about history,Imperative,33,Code Generator
Correct this Python code: if x = 10: print('hi'),Declarative,48,Code Rectification
Help with research,Declarative,18,Conversational UI
Find the answer to this problem,Imperative,31,Code Generator
How do you say where is the bathroom in Russian,Interrogative,47,Real-Time Translation UI
When was the Industrial Revolution,Interrogative,34,Knowledge Assistant
Visualize user growth as line,Declarative,29,Graph Generation
Explain machine learning,Imperative,24,Educational Bot
How do you say please help me in French,Interrogative,39,Real-Time Translation UI
Show me information about technology,Imperative,36,Educational Bot
Share a quote with me!!,Declarative,23,Chatbot Interface
Create a CSS script that parse JSON,Declarative,35,Code Generator
Find the result of 84 minus 16,Imperative,30,Voice Calculator
How do you say hello in Japanese,Interrogative,32,Real-Time Translation UI
Information on technology,Declarative,25,Location Services UI
Find the answer to my query,Imperative,27,Graph Generation
History of Greek mythology,Conversational,26,Knowledge Assistant
yes in Italian,Declarative,14,Real-Time Translation UI
Graph sales data,Declarative,16,Graph Generation
Compute 3 add 22,Declarative,16,Voice Calculator
Explain the solar system,Imperative,24,Educational Bot
Share a fun fact with me,Declarative,24,Chatbot Interface
Create a chart showing population growth,Declarative,40,Graph Generation
Help with research,Declarative,18,Chatbot Interface
What's the Hindi word for nice to meet you,Interrogative,42,Real-Time Translation UI
Compute 21 divided by 37,Declarative,24,Voice Calculator
Fix this code: button { color red; },Declarative,36,Code Rectification
Graph user growth,Declarative,17,Graph Generation
I need to understand machine learning,Declarative,37,Educational Bot
Please How do you say please help me in German,Declarative,46,Real-Time Translation UI
Who invented the steam engine,Interrogative,29,Knowledge Assistant
What is 36 squared,Interrogative,18,Voice Calculator
History of the pyramids,Conversational,23,Knowledge Assistant
I need help with understanding,Declarative,30,Educational Bot
Could you What is 88 over 20,Declarative,28,Voice Calculator
75 minus 49 equals what,Declarative,23,Voice Calculator
Please Debug the following: for i in range(10) print(i),Declarative,55,Code Rectification
What is the capital of mexico,Interrogative,29,Location Services UI
How's it going,Interrogative,14,Conversational UI
Create a CSS script that fetch data from API,Declarative,44,Code Generator
Fix this code: <div class='btn' onclick='alert('hi')'>,Declarative,54,Code Rectification
Write CSS code for a login API,Declarative,30,Code Generator
Hi there,Conversational,8,Conversational UI
Please Hey,Declarative,10,Conversational UI
What's up,Interrogative,9,Conversational UI
Give me 66 multiplied by 17,Declarative,27,Voice Calculator
Can you translate sorry into Hindi please,Declarative,41,Real-Time Translation UI
Give me 81 to the power of 40,Declarative,29,Voice Calculator
square root of 90 equals what,Declarative,29,Voice Calculator
Hello,Conversational,5,Conversational UI
Solve square root of 8,Imperative,22,Voice Calculator
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
How do you say thank you in Hindi,Interrogative,33,Real-Time Translation UI
I'm confused,Declarative,12,Conversational UI
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
nice to meet you in Chinese,Declarative,27,Real-Time Translation UI
How to a login API in HTML,Interrogative,26,Code Generator
Convert thank you from English to French,Declarative,40,Real-Time Translation UI
Good afternoon,Declarative,14,Conversational UI
Facts about Greek mythology,Declarative,27,Knowledge Assistant
How to fetch data from API in Python,Interrogative,36,Code Generator
can you translate i love you into arabic,Declarative,40,Real-Time Translation UI
Information on math,Declarative,19,Graph Generation
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
I need to understand blockchain,Declarative,31,Educational Bot
Explain the solar system,Imperative,24,Educational Bot
Create a Python script that a login API,Declarative,39,Code Generator
I'm confused,Declarative,12,Conversational UI
51 subtract 50 equals what!!,Declarative,28,Voice Calculator
Show me tokyo,Imperative,13,Location Services UI
Tell me more,Declarative,12,Knowledge Assistant
Nice to meet you,Declarative,16,Conversational UI
Recommend music,Declarative,15,Chatbot Interface
Create a chart showing stock prices,Declarative,35,Graph Generation
Please Explain quantum mechanics,Declarative,32,Educational Bot
Calculate 90 minus 22,Imperative,21,Voice Calculator
Could you Graph population growth,Declarative,33,Graph Generation
Please Information on math,Declarative,26,Real-Time Translation UI
Fix this code: button { color red; },Declarative,36,Code Rectification
Plot a graph for stock prices,Declarative,29,Graph Generation
How far is Paris,Interrogative,16,Location Services UI
please help me in Spanish,Declarative,25,Real-Time Translation UI
Fix this code: try: pass except: pass,Declarative,37,Code Rectification
